raw,cal
5.59630799728,5.17379440929
5.31024243376,5.01068524712
5.02782432229,4.29575392118
5.02155862991,4.3069277978
5.56759018482,4.90748491886
5.2335947323,4.54669316367
5.22940720037,4.49256170652
5.42244493639,4.69243688985
5.21851086726,4.4868256141
5.21117284133,4.43753333109
5.20433740159,4.4256298741
5.1961376056,4.40298294056
5.18789802646,4.37576377582
5.37805423095,4.54201016931
5.36451668492,4.5186571881
5.35031528066,4.49303890671
5.50171858799,4.62380221665
5.31428236182,4.45231546672
5.46542154775,4.56789802003
5.27690828321,4.40552749981
5.25400691221,4.36075841209
5.4063017809,4.49508809882
5.52675033846,4.60380588706
5.50156541033,4.56464854528
5.47175367473,4.52992271692
5.41944821404,4.46758153098
5.71964174494,4.73961728347
5.36967666462,4.37821119252
5.64929482753,4.60452450077
5.29380012677,4.25583965985
5.26027721002,4.17765684929
5.22523862059,4.14023150175
5.50141403202,4.35846218745
5.45989671258,4.29865767496
5.61706899779,4.38032134609
5.36331827103,4.13185335938
5.70273979222,4.39436914092
5.69939711982,4.3664438543
5.65625275515,4.27228263277
5.61033801847,4.1961170683
5.56128981988,4.13195440249
5.86939567838,4.42753015921
5.82153644766,4.3518665604
5.38781045741,3.94529586498
5.72147519249,4.24261585946
5.6664179061,4.23704589023
5.61960933895,4.15753470964
5.84654488014,4.3525249062
5.80124948032,4.31019178944
5.74855126639,4.22621209904
5.88021539469,4.34744251343
5.83593038837,4.32700951641
6.06353303354,4.49444614691
5.55815684882,4.02729998667
5.69043904953,4.15449238952
6.18704191183,4.60165011353
5.58829505848,4.05698636788
6.0444634005,4.37619865126
6.0382397836,4.42589274403
6.11470734035,4.42687222852
6.49484643812,4.74229454655
6.02636325594,4.32717720275
6.64720351011,4.79783431192
5.95175516732,4.23158082684
6.55063710733,4.64908505766
6.36538789078,4.5383822465
7.29392785668,5.27491034039
7.24885265408,5.25918053649
6.36615757726,4.35551168862
6.80509436715,4.74218312357
6.28234036689,4.35328143979
6.73387617233,4.67239773261
6.70448047215,4.67535592201
6.67093087482,4.57424554783
6.64057382623,4.53591690665
6.99192654682,4.83315978516
6.9620210271,4.79933413968
6.5526872783,4.41454099337
6.76374760746,4.56275336511
6.69091836055,4.56618964988
6.67743222235,4.49648343016
6.47803353192,4.3143316394
6.46906168432,4.31102410745
6.69173503179,4.50187721769
6.6781283976,4.46594081607
6.66312993813,4.38799053162
6.64699529033,4.37333240457
6.63402133108,4.34947015387
5.66856660983,3.50353109118
6.62303292686,4.25895694038
6.62299426709,4.38337715062
6.62709099571,4.20962264609
6.6320437553,4.17992332191
6.63818402361,4.1968025437
6.64033295526,4.15330985329
6.64405632886,4.11126378109
6.64713848275,4.10531778659
6.66064257265,4.07550803269
6.44058134686,3.86832985636
6.45933818002,3.87856400817
6.7211879082,4.13111071375
6.74849518683,4.14456011746
5.70840288967,3.13527723234
6.5596447983,3.9022286728
6.57603343673,4.07483128409
6.59156763862,3.93209790743
5.58888145318,3.00921580636
6.62134470016,3.96892973776
5.62776086397,3.23875457894
5.85393612726,3.22539829511
6.2474620736,3.74399622421
6.29281798442,3.77966451487
5.7916514772,3.24926771731
6.37499173266,3.79485240885
5.75290796111,3.32307419579
5.78716812904,3.24447874169
5.63581851976,3.20464289542
5.87684733105,3.41541617016
5.7374178116,3.29762062484
5.37893400453,2.92911204974
5.64723045638,3.22782336432
5.42137141861,3.09151585454
